[Epoch 0] Training: MSE=0.33989623, CE=1.93947802, LL=1.07270335, Correct: 50/150, Acc: 0.33333333
[Epoch 1] Training: MSE=0.35054136, CE=1.98910892, LL=1.13654524, Correct: 50/150, Acc: 0.33333333
[Epoch 2] Training: MSE=0.33898723, CE=1.93723493, LL=1.12030613, Correct: 50/150, Acc: 0.33333333
[Epoch 3] Training: MSE=0.30402667, CE=1.76598458, LL=0.98309968, Correct: 51/150, Acc: 0.34000000
[Epoch 4] Training: MSE=0.27946742, CE=1.65306466, LL=0.88038172, Correct: 100/150, Acc: 0.66666667
[Epoch 5] Training: MSE=0.25916154, CE=1.56196374, LL=0.80792403, Correct: 100/150, Acc: 0.66666667
[Epoch 6] Training: MSE=0.24333059, CE=1.48939578, LL=0.75466382, Correct: 100/150, Acc: 0.66666667
[Epoch 7] Training: MSE=0.23153034, CE=1.43260666, LL=0.71520737, Correct: 100/150, Acc: 0.66666667
[Epoch 8] Training: MSE=0.22283392, CE=1.38810432, LL=0.68570972, Correct: 100/150, Acc: 0.66666667
[Epoch 9] Training: MSE=0.21638630, CE=1.35286947, LL=0.66332470, Correct: 100/150, Acc: 0.66666667
[Epoch 10] Training: MSE=0.21155054, CE=1.32462457, LL=0.64601912, Correct: 100/150, Acc: 0.66666667
[Epoch 11] Training: MSE=0.20789080, CE=1.30174644, LL=0.63237556, Correct: 100/150, Acc: 0.66666667
[Epoch 12] Training: MSE=0.20511694, CE=1.28309614, LL=0.62141506, Correct: 100/150, Acc: 0.66666667
[Epoch 13] Training: MSE=0.20302930, CE=1.26784584, LL=0.61246681, Correct: 100/150, Acc: 0.66666667
[Epoch 14] Training: MSE=0.20147235, CE=1.25532061, LL=0.60507322, Correct: 100/150, Acc: 0.66666667
[Epoch 15] Training: MSE=0.20030105, CE=1.24486556, LL=0.59890049, Correct: 100/150, Acc: 0.66666667
[Epoch 16] Training: MSE=0.19936157, CE=1.23573475, LL=0.59362044, Correct: 100/150, Acc: 0.66666667
[Epoch 17] Training: MSE=0.19846286, CE=1.22686360, LL=0.58868507, Correct: 100/150, Acc: 0.66666667
[Epoch 18] Training: MSE=0.19720532, CE=1.21573647, LL=0.58262039, Correct: 100/150, Acc: 0.66666667
[Epoch 19] Training: MSE=0.19438939, CE=1.19440802, LL=0.57068463, Correct: 100/150, Acc: 0.66666667
[Epoch 20] Training: MSE=0.19092608, CE=1.16732717, LL=0.55286608, Correct: 100/150, Acc: 0.66666667
[Epoch 21] Training: MSE=0.19096008, CE=1.16133018, LL=0.54312471, Correct: 100/150, Acc: 0.66666667
[Epoch 22] Training: MSE=0.19353066, CE=1.16929236, LL=0.53927297, Correct: 100/150, Acc: 0.66666667
[Epoch 23] Training: MSE=0.19776431, CE=1.18560542, LL=0.54036904, Correct: 100/150, Acc: 0.66666667
[Epoch 24] Training: MSE=0.20178627, CE=1.20164379, LL=0.54486505, Correct: 100/150, Acc: 0.66666667
[Epoch 25] Training: MSE=0.20662471, CE=1.22178025, LL=0.54960066, Correct: 100/150, Acc: 0.66666667
[Epoch 26] Training: MSE=0.21241592, CE=1.24698192, LL=0.55558579, Correct: 100/150, Acc: 0.66666667
